type,start,end,value
Period,7980,7985,Weeks
Calendar-Interval,7745,7748,Day
Calendar-Interval,7725,7730,Day
Calendar-Interval,518,523,Day
Calendar-Interval,663,668,Day
Calendar-Interval,973,978,Day
Period,2209,2213,Years
Period,2834,2838,Days
Calendar-Interval,3218,3223,Day
Calendar-Interval,3886,3891,Day
Calendar-Interval,4244,4249,Day
Calendar-Interval,5397,5402,Day
Calendar-Interval,6105,6110,Day
Period,1439,1448,Unknown
Calendar-Interval,1170,1175,Day
Period,6309,6315,Unknown
